lichess_dataset_index,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
2460348,xB5aH,2k5/ppp2ppp/8/8/1PKB4/3R2P1/q1P3QP/3r4 w - - 0 24,d3b3 a2a6 c4c3 a6a1,1645,202,200,7,crushing endgame short,https://lichess.org/68NIJbqI#47
2166338,ptOrF,3r4/1p6/p1n1b3/2P1k1N1/1P1pp1P1/P3P1K1/B7/5R2 b - - 0 46,e6a2 f1f5,1445,160,106,57,endgame mate mateIn1 oneMove,https://lichess.org/EpN14kb3/black#92
2522148,ynV70,8/p4k2/2p5/5q2/4R3/2Q2Prr/PP3K2/3R4 w - - 2 31,d1d7 f5d7 e4f4 f7g8 c3c4 g8g7,2365,130,106,23,crushing defensiveMove endgame hangingPiece long,https://lichess.org/snTg0Omv#61
2,000Vc,8/8/4k1p1/2KpP2p/5PP1/8/8/8 w - - 0 53,g4h5 g6h5 f4f5 e6e5 f5f6 e5f6,1495,155,100,14,crushing endgame long pawnEndgame,https://lichess.org/l6AejDMO#105
3,000Zo,4r3/1k6/pp3r2/1b2P2p/3R1p2/P1R2P2/1P4PP/6K1 w - - 0 35,e5f6 e8e1 g1f2 e1f1,1652,149,100,23,endgame mate mateIn2 short,https://lichess.org/n8Ff742v#69
4,000mr,5r1k/5rp1/p7/1b2B2p/1P1P1Pq1/2R1Q3/P3p1P1/2R3K1 w - - 0 41,e3g3 f7f4 e5f4 f8f4,1478,279,100,10,crushing middlegame short,https://lichess.org/8sVpuwso#81
10,001h8,2r3k1/2r4p/4p1p1/1p1q1pP1/p1bP1P1Q/P6R/5B2/2R3K1 b - - 5 34,c4e2 h4h7 c7h7 c1c8 g8g7 c8c7,1801,211,100,9,crushing deflection kingsideAttack long middlegame sacrifice,https://lichess.org/IxCahP6X/black#68
19,002rd,r6k/q1pb1p1p/1b3Pr1/p1ppP2Q/3P2p1/4B3/PP2NRPP/3R2K1 b - - 1 25,d7e6 e2f4 c5d4 f4g6 f7g6 h5h6,1776,168,100,20,crushing kingsideAttack long middlegame pin,https://lichess.org/NcD6lul8/black#50
22,0039T,1r5r/p3kp2/4p2p/4P3/3R1Pp1/6P1/P1P4P/4K2R w K - 1 25,d4a4 b8b1 e1f2 b1h1 a4a7 e7f8,1214,79,100,128,crushing defensiveMove endgame long rookEndgame skewer,https://lichess.org/BrtVeJlj#49
38,004d8,8/4kr2/R2p4/1p1Pp1p1/5p2/3K1P2/PPP5/8 b - - 0 39,g5g4 a6a7 e7f6 a7f7 f6f7 f3g4,1730,87,100,66,crushing endgame long rookEndgame,https://lichess.org/FrR3BHbW/black#78
48,005YX,2rr4/2N2pk1/p1Q1b1pp/1p4q1/3pP3/1B1P4/PPP3PP/6RK w - - 7 25,c7e6 f7e6 c6b7 g7h8,1440,309,100,8,defensiveMove equality middlegame short,https://lichess.org/zbi5w5Qy#49
52,005wy,1r6/pp2kpp1/2n1p1n1/3p2PQ/5P2/2PqP3/PP1N4/2KR3R w - - 3 27,h5h7 c6b4 c3b4 b8c8 d2c4 c8c4,1842,88,100,112,long mate mateIn3 middlegame queensideAttack sacrifice,https://lichess.org/mBQMheB4#53
57,0068D,7r/pppk4/2pb1r2/8/2NP2p1/2P5/PP2RPP1/4R1K1 w - - 2 26,c4d6 f6h6 f2f4 g4g3 e2e7 d7d6 g1f1 h6h1,1901,288,100,8,crushing endgame veryLong,https://lichess.org/WNAZgV2o#51
62,006eO,8/8/2p2k2/1p1p4/3P4/1PP1pK2/8/8 b - - 3 64,f6f5 b3b4,2186,115,100,45,defensiveMove endgame equality oneMove pawnEndgame,https://lichess.org/2cHqPgSG/black#128
67,006x0,3Q4/5kr1/8/1P2pB2/2Pp1n2/q2P3P/7K/5R2 w - - 7 49,d8d7 f7f6 d7d8 f6f5,1341,193,100,13,defensiveMove endgame equality short,https://lichess.org/yJzYpNj0#97
75,0088O,7Q/2p5/1p2prp1/p4k1p/P4p1P/8/6RK/3q4 b - - 2 37,d1a4 g2g5 f5e4 h8f6,1008,76,100,160,crushing deflection endgame short,https://lichess.org/GmH1DPx6/black#74
77,008LT,r4rk1/6p1/b3p1nN/p1pp4/1p3P1q/3P1Q1B/PPP2PK1/R6R b - - 0 26,g8h8 h6f7 f8f7 h3e6,1752,101,100,43,crushing kingsideAttack middlegame pin sacrifice short,https://lichess.org/vnxisKeU/black#52
83,008o6,Q5k1/p1p3p1/5rP1/8/3P4/7P/q3r3/B4RK1 b - - 1 34,f6f8 a8f8,1017,206,100,24,endgame mate mateIn1 oneMove,https://lichess.org/1k4lXfEi/black#68
92,009lk,1R6/6pk/2p4p/3bP2r/5B1P/2P2qP1/P4P1Q/4R1K1 w - - 2 40,e1e3 f3d1 e3e1 d1e1,952,76,100,140,mate mateIn2 middlegame short,https://lichess.org/gLNPef4f#79
93,009oc,5Q2/pbp3np/1p1pB1pk/1P6/P3q2P/6K1/8/8 b - - 1 32,e4e6 f8f4 g6g5 f4g5,1500,500,100,0,endgame mate mateIn2 short,https://lichess.org/426eHXom/black#64
102,00AdI,3r4/4kp1p/1PQ1p1p1/p3b3/1p2P2P/1P6/6PK/8 w - - 1 36,h2h3 d8d3 g2g3 d3g3 h3h2 g3c3,1513,289,100,6,crushing discoveredAttack endgame long,https://lichess.org/WWyIGzPi#71
117,00C8e,8/5p1k/5Ppb/2p3P1/1p6/8/KB5Q/3q4 b - - 4 58,d1a4 a2b1 a4d1 b2c1,1357,244,100,5,endgame equality pin short,https://lichess.org/YqVcRoWF/black#116
129,00DkJ,3r1bnr/2p2ppp/2b5/R1k5/5P2/2N5/4N1PP/1R4K1 b - - 3 21,c5d6 b1d1 d6e7 a5e5 e7f6 d1d8,1440,75,100,660,crushing deflection exposedKing long middlegame,https://lichess.org/JJiGlqDg/black#42
131,00Dw8,8/2p1N1p1/3r3p/6k1/3p4/6P1/6KP/3R4 w - - 0 42,h2h4 g5f6,1858,152,100,9,defensiveMove endgame equality oneMove,https://lichess.org/dlF3OKdi#83
