raw_id,raw_split,split,input,output
0,train,0,EU rejects German call to boycott British lamb .,"{""person"": [], ""organization"": [""EU""], ""location"": [], ""miscellaneous"": [""German"", ""British""]}"
1,train,0,Peter Blackburn,"{""person"": [""Peter Blackburn""], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
2,train,0,BRUSSELS 1996-08-22,"{""person"": [], ""organization"": [], ""location"": [""BRUSSELS""], ""miscellaneous"": []}"
3,train,0,The European Commission said on Thursday it disagreed with German advice to consumers to shun British lamb until scientists determine whether mad cow disease can be transmitted to sheep .,"{""person"": [], ""organization"": [""European Commission""], ""location"": [], ""miscellaneous"": [""German"", ""British""]}"
4,train,0,Germany 's representative to the European Union 's veterinary committee Werner Zwingmann said on Wednesday consumers should buy sheepmeat from countries other than Britain until the scientific advice was clearer .,"{""person"": [""Werner Zwingmann""], ""organization"": [""European Union""], ""location"": [""Germany"", ""Britain""], ""miscellaneous"": []}"
5,train,0,""" We do n't support any such recommendation because we do n't see any grounds for it , "" the Commission 's chief spokesman Nikolaus van der Pas told a news briefing .","{""person"": [""Nikolaus van der Pas""], ""organization"": [""Commission""], ""location"": [], ""miscellaneous"": []}"
6,train,0,He said further scientific study was required and if it was found that action was needed it should be taken by the European Union .,"{""person"": [], ""organization"": [""European Union""], ""location"": [], ""miscellaneous"": []}"
7,train,0,"He said a proposal last month by EU Farm Commissioner Franz Fischler to ban sheep brains , spleens and spinal cords from the human and animal food chains was a highly specific and precautionary move to protect human health .","{""person"": [""Franz Fischler""], ""organization"": [""EU""], ""location"": [], ""miscellaneous"": []}"
8,train,0,Fischler proposed EU-wide measures after reports from Britain and France that under laboratory conditions sheep could contract Bovine Spongiform Encephalopathy ( BSE ) -- mad cow disease .,"{""person"": [""Fischler""], ""organization"": [], ""location"": [""Britain"", ""France""], ""miscellaneous"": [""EU-wide"", ""Bovine Spongiform Encephalopathy"", ""BSE""]}"
9,train,0,"But Fischler agreed to review his proposal after the EU 's standing veterinary committee , mational animal health officials , questioned if such action was justified as there was only a slight risk to human health .","{""person"": [""Fischler""], ""organization"": [""EU""], ""location"": [], ""miscellaneous"": []}"
10,train,0,"Spanish Farm Minister Loyola de Palacio had earlier accused Fischler at an EU farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . ""","{""person"": [""Loyola de Palacio"", ""Fischler""], ""organization"": [""EU""], ""location"": [], ""miscellaneous"": [""Spanish""]}"
11,train,0,.,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
12,train,0,Only France and Britain backed Fischler 's proposal .,"{""person"": [""Fischler""], ""organization"": [], ""location"": [""France"", ""Britain""], ""miscellaneous"": []}"
13,train,0,The EU 's scientific veterinary and multidisciplinary committees are due to re-examine the issue early next month and make recommendations to the senior veterinary officials .,"{""person"": [], ""organization"": [""EU""], ""location"": [], ""miscellaneous"": []}"
14,train,0,"Sheep have long been known to contract scrapie , a brain-wasting disease similar to BSE which is believed to have been transferred to cattle through feed containing animal waste .","{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": [""BSE""]}"
15,train,0,"British farmers denied on Thursday there was any danger to human health from their sheep , but expressed concern that German government advice to consumers to avoid British lamb might influence consumers across Europe .","{""person"": [], ""organization"": [], ""location"": [""Europe""], ""miscellaneous"": [""British"", ""German"", ""British""]}"
16,train,0,""" What we have to be extremely careful of is how other countries are going to take Germany 's lead , "" Welsh National Farmers ' Union ( NFU ) chairman John Lloyd Jones said on BBC radio .","{""person"": [""John Lloyd Jones""], ""organization"": [""Welsh National Farmers ' Union"", ""NFU"", ""BBC radio""], ""location"": [""Germany""], ""miscellaneous"": []}"
17,train,0,Bonn has led efforts to protect public health after consumer confidence collapsed in March after a British report suggested humans could contract an illness similar to mad cow disease by eating contaminated beef .,"{""person"": [], ""organization"": [], ""location"": [""Bonn""], ""miscellaneous"": [""British""]}"
18,train,0,"Germany imported 47,600 sheep from Britain last year , nearly half of total imports .","{""person"": [], ""organization"": [], ""location"": [""Germany"", ""Britain""], ""miscellaneous"": []}"
19,train,0,"It brought in 4,275 tonnes of British mutton , some 10 percent of overall imports .","{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": [""British""]}"
20,train,0,"Rare Hendrix song draft sells for almost $ 17,000 .","{""person"": [""Hendrix""], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
21,train,0,LONDON 1996-08-22,"{""person"": [], ""organization"": [], ""location"": [""LONDON""], ""miscellaneous"": []}"
22,train,0,"A rare early handwritten draft of a song by U.S. guitar legend Jimi Hendrix was sold for almost $ 17,000 on Thursday at an auction of some of the late musician 's favourite possessions .","{""person"": [""Jimi Hendrix""], ""organization"": [], ""location"": [""U.S.""], ""miscellaneous"": []}"
23,train,0,"A Florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" Ai n't no telling "" , which Hendrix penned on a piece of London hotel stationery in late 1966 .","{""person"": [""Hendrix""], ""organization"": [], ""location"": [""Florida"", ""London""], ""miscellaneous"": [""Ai n't no telling""]}"
24,train,0,"At the end of a January 1967 concert in the English city of Nottingham he threw the sheet of paper into the audience , where it was retrieved by a fan .","{""person"": [], ""organization"": [], ""location"": [""Nottingham""], ""miscellaneous"": [""English""]}"
25,train,0,"Buyers also snapped up 16 other items that were put up for auction by Hendrix 's former girlfriend Kathy Etchingham , who lived with him from 1966 to 1969 .","{""person"": [""Hendrix"", ""Kathy Etchingham""], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
26,train,0,"They included a black lacquer and mother of pearl inlaid box used by Hendrix to store his drugs , which an anonymous Australian purchaser bought for 5,060 pounds ( $ 7,845 ) .","{""person"": [""Hendrix""], ""organization"": [], ""location"": [], ""miscellaneous"": [""Australian""]}"
27,train,0,The guitarist died of a drugs overdose in 1970 aged 27 .,"{""person"": [], ""organization"": [], ""location"": [], ""miscellaneous"": []}"
28,train,0,China says Taiwan spoils atmosphere for talks .,"{""person"": [], ""organization"": [], ""location"": [""China"", ""Taiwan""], ""miscellaneous"": []}"
29,train,0,BEIJING 1996-08-22,"{""person"": [], ""organization"": [], ""location"": [""BEIJING""], ""miscellaneous"": []}"
