"dataset_name","function_name","id","episode_id","input","output","tool_params","tags","auxiliary","is_deleted","updated_at"
"foo","write_haiku","01934fc5-ea98-71f0-8191-9fd88f34c28b","0193fb9d-73ad-7ad2-807d-a2ef10088ff9","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":{""topic"":""upward""}}]}]}","[{""type"":""text"",""text"":""Alright, the theme of \""upward\"" immediately brings to mind things that ascend or rise. This can be movements, emotions, or natural events.\n\nLet's craft a haiku:\n\nMountains touch the sky,  \nClouds race past the soaring peaks,  \nWorld beneath grows small.""}]","","{}","",false,"2025-02-19 00:25:04"
"foo","write_haiku","01940096-2720-7050-8454-c1e3d606e578","0193fb9d-9782-7602-a055-1bb2c52eecdb","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":{""topic"":""angel""}}]}]}","[{""type"":""text"",""text"":""Alright, let's think about angels. They are ethereal, celestial beings often depicted with wings and a sense of purity or divinity. The hyperbole could focus on their graceful presence or their endless benevolence.\n\nNow, let's construct the haiku:\n\nWings like endless skies,  \nGuardians of light and love,  \nThey outshine the stars.  ""}]","","{}","",false,"2025-02-19 00:25:04"
"foo","write_haiku","01942b0c-0e70-78b2-85e7-1d5ef54f793a","0193fb9d-a2eb-7b72-ac62-c39fa1a85bec","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":{""topic"":""pate""}}]}]}","[{""type"":""text"",""text"":""Alright, let's think about pate. It's a type of finely ground meat paste, often considered luxurious and refined, typically enjoyed as a spread on bread or crackers. It's rich, smooth, and can bring to mind indulgent culinary experiences. \n\nNow for the hyperbole – something that exaggerates for effect. Perhaps we can think about it as the epitome of culinary refinement, or even suggest it transforms any dining experience into something almost heavenly.\n\nLet's put it all together:\n\nRich pate so smooth, fine  \nTurns bread to pure gold, divine,  \nFeast fit for the gods.""}]","","{}","",false,"2025-02-19 00:25:04"
"foo","write_haiku","0194273e-a320-71a2-8703-44fa2b0c60e0","0193fb9d-abbf-7170-aaf7-38afb0baa568","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":{""topic"":""lead""}}]}]}","[{""type"":""text"",""text"":""Alright, the topic is lead. I'm thinking about the heavy nature of lead, its historical use in various applications, and its contrast with lighter elements. I also want to incorporate hyperbole, which means I'll exaggerate for effect.\n\nLead, heavy like worlds,  \nCrushing all beneath its weight,  \nMountains start to quake.""}]","","{}","",false,"2025-02-19 00:25:04"
"foo","write_haiku","01944abb-eb28-7f22-8731-310bea89ab70","0193fb9d-92d2-7090-b3d9-e8b8e1101976","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":{""topic"":""mocha""}}]}]}","[{""type"":""text"",""text"":""Alright, the topic is mocha—a drink that brings to mind the rich blend of coffee and chocolate. Mocha is often associated with coziness, warmth, and perhaps a little indulgence. Now thinking about hyperbole, which involves exaggerating for effect...\n\nLet me think: I could evoke an intense image or feeling associated with mocha. Mocha could be so delightful that it feels like it's absolutely necessary for survival, or maybe it's so delicious it feels like being transported to a different world. \n\nHere we go:\n\nMocha cup in hand,  \nEarth's axis tilts towards bliss—  \na world swims in warmth.""}]","","{}","",false,"2025-02-19 00:25:04"
"foo","write_haiku","0193fa3f-c700-74e1-873e-86861df758e4","0193fb9d-5717-72e0-9ef2-24425652dedd","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":{""topic"":""literature""}}]}]}","[{""type"":""text"",""text"":""Alright, let's think about literature and how expansive and profound it can be. The topic evokes vast libraries, the wisdom of ages, countless narratives and worlds created through words. We can use hyperbole to emphasize the boundless and timeless nature of literature.\n\nHere’s a try:\n\nBooks long as oceans,  \nEndless tales in paper waves,  \nWords outlive the stars.""}]","","{}","",false,"2025-02-19 00:25:04"
"foo","write_haiku","01945256-c5b0-7b40-8840-caf0ee0c2c49","0193fb9d-bf0a-7c13-b4b0-28aac3d3a0cb","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":{""topic"":""sesame""}}]}]}","[{""type"":""text"",""text"":""Alright, the topic is sesame. Let's see, sesame seeds are small, but they are so significant in flavor and nutrition. They are often used in countless cuisines around the world. Thinking about these tiny seeds and the use of hyperbole, I want to imagine them in an exaggerated light.\n\nTiny seeds of gold,  \nEmpires rise with your power,  \nWorlds in your embrace.  \n\nThere it is, the haiku captures the grandeur of tiny sesame seeds with hyperbolic imagery. The seeds are so influential, they cause empires to rise and worlds to exist within their grasp.""}]","","{}","",false,"2025-02-19 00:25:04"
"foo","write_haiku","01936551-ffc8-7372-8991-0a2929d3f5b0","0193fb9d-947b-7461-8543-81bdecb3ecf9","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":{""topic"":""pegboard""}}]}]}","[{""type"":""text"",""text"":""Pegboard, an organizational tool used to hang and display various items like tools and craft supplies. When trying to come up with a haiku, I'll focus on its utility and the exaggerated vastness it might bring to a space.\n\nLet's think:\n\n1. I need a line with five syllables related to the pegboard.\n2. The next line should have seven syllables.\n3. Finally, another five-syllable line, perhaps amplifying the idea.\n\n\nOn the ocean's face,   \nEndless items hang in rows,   \nHolds a world of tools.  \n\nThe haiku brings out the idea that a pegboard, though a simple tool, can hold countless items, creating an overstatement that it carries a \""world\"" of tools.""}]","","{}","",false,"2025-02-19 00:25:04"
"foo","write_haiku","0193961e-4738-7e51-8b49-c52c3827ef8b","0193fb9d-a756-7680-8ae2-4694cb8071b4","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":{""topic"":""suppression""}}]}]}","[{""type"":""text"",""text"":""Suppression: a complex topic of holding down or stifling something. Now, I need to incorporate exaggerated language or imagery with hyperbole to highlight the effect of suppression. Let's see...\n\nSilent avalanche  \nCrushes whispers into dust—  \nWords lost, mountains rise.""}]","","{}","",false,"2025-02-19 00:25:04"
"foo","write_haiku","019399eb-b288-71d3-8b7a-800e7bc6d2d9","0193fb9d-8fb3-7ab1-8bd2-70bc0cfa480e","{""messages"":[{""role"":""user"",""content"":[{""type"":""text"",""value"":{""topic"":""banner""}}]}]}","[{""type"":""text"",""text"":""Alright, let's craft a haiku about the topic \""banner.\"" I need to think about the aspects of a banner - perhaps its size or the way it's displayed. Let's try to include some hyperbole, which means I need to exaggerate a detail. It needs to be visually impactful or have an emotional effect.\n\nHere's a try:\n\nBanner spans the sky,  \nEndless colors dance through clouds,  \nWorlds unite below.""}]","","{}","",false,"2025-02-19 00:25:04"
